address,chain,label,source_url,is_contract
0x1F3D3A7A9c548bE39539b39D7400302753E20591,ethereum,human,https://snapshot.org/#/arbitrumfoundation.eth,true
0xbeA79F54fE4AFD1492A654AD26682A6BfFF2b718,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0x17241c2183c1032cFf9d789694b496c16fFEBdd5,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0x701f4c9f4562e6bB6Ac315623d5FC1e4804F2F2c,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0x6441C1CCa2Cc055b962028F36f87c01eF2837C65,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0x986B2469eb23b7767F00983b8e078530e3581174,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0x409E5ee14B3dA7E908bB92EB884afB241a6504bD,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0x7008d154839515b52400C206d7066C702B7f1bE2,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0x5A3D7866A8B80A4DaA8374a5932067aD2035D2Ef,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0x7913e229F6b447aD4159df9dD5f9915E956aa745,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0x93d86db7a206f35B462Fde24B7E65059D5eaC1eb,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0x4D32D90D6535bD4e7eaBaa27EE72932cB214BbfA,ethereum,human,https://snapshot.org/#/ens.eth,false
0x475E41b482aFC82BAE8025D09d128F30B680E10c,ethereum,human,https://snapshot.org/#/aavedao.eth,true
0x0579A616689f7ed748dC07692A3F150D44b0CA09,ethereum,human,https://snapshot.org/#/arbitrumfoundation.eth,false
0xE93D59CC0bcECFD4ac204827eF67c5266079E2b5,ethereum,human,https://snapshot.org/#/arbitrumfoundation.eth,false
0x21b3B193B71680E2fAfe40768C03a0Fd305EFa75,ethereum,human,https://snapshot.org/#/uniswapgovernance.eth,false
0x3DDC7d25c7a1dc381443e491Bbf1Caa8928A05B0,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0x896212Da5D35Dbf0e7C57A37133F0C97033F82b5,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0x019Ed608dD806b80193942F2A960e7AC8aBb2EE3,ethereum,human,https://snapshot.org/#/aavedao.eth,true
0x010DC5440ad49f9Ec0Dd325b622d9FD225944ee4,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0x683a4F9915D6216f73d6Df50151725036bD26C02,ethereum,human,https://snapshot.org/#/uniswapgovernance.eth,true
0xc5547B4907418C2EC0C2A95beC6fEE8354657759,ethereum,human,https://snapshot.org/#/aavedao.eth,true
0xAC03cBb8480cBc6340c0EE6f6D16959Bbc7f4cE4,ethereum,human,https://snapshot.org/#/arbitrumfoundation.eth,true
0x5FfD23B1B0350debB17A2cB668929aC5f76d0E18,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0xB3a1581B786d724d34377D2A90C6f239887d1908,ethereum,human,https://snapshot.org/#/uniswapgovernance.eth,false
0x4D4AC65513fEe380c596ac9EdfaC588782831bdf,ethereum,human,https://snapshot.org/#/aavedao.eth,false
0x88F659b4B6D5614B991c6404b34f821e10390eC0,ethereum,human,https://snapshot.org/#/aavedao.eth,true
